province_code,province_name,province_type,city_code,city_name,city_type,district_code,district_name,district_type
11,北京市,直辖市,,,,110101,东城区,市辖区
11,北京市,直辖市,,,,110102,西城区,市辖区
11,北京市,直辖市,,,,110105,朝阳区,市辖区
11,北京市,直辖市,,,,110106,丰台区,市辖区
11,北京市,直辖市,,,,110107,石景山区,市辖区
11,北京市,直辖市,,,,110108,海淀区,市辖区
11,北京市,直辖市,,,,110109,门头沟区,市辖区
11,北京市,直辖市,,,,110111,房山区,市辖区
11,北京市,直辖市,,,,110112,通州区,市辖区
11,北京市,直辖市,,,,110113,顺义区,市辖区
11,北京市,直辖市,,,,110114,昌平区,市辖区
11,北京市,直辖市,,,,110115,大兴区,市辖区
11,北京市,直辖市,,,,110116,怀柔区,市辖区
11,北京市,直辖市,,,,110117,平谷区,市辖区
11,北京市,直辖市,,,,110118,密云区,市辖区
11,北京市,直辖市,,,,110119,延庆区,市辖区
12,天津市,直辖市,,,,120101,和平区,市辖区
12,天津市,直辖市,,,,120102,河东区,市辖区
12,天津市,直辖市,,,,120103,河西区,市辖区
12,天津市,直辖市,,,,120104,南开区,市辖区
12,天津市,直辖市,,,,120105,河北区,市辖区
12,天津市,直辖市,,,,120106,红桥区,市辖区
12,天津市,直辖市,,,,120110,东丽区,市辖区
12,天津市,直辖市,,,,120111,西青区,市辖区
12,天津市,直辖市,,,,120112,津南区,市辖区
12,天津市,直辖市,,,,120113,北辰区,市辖区
12,天津市,直辖市,,,,120114,武清区,市辖区
12,天津市,直辖市,,,,120115,宝坻区,市辖区
12,天津市,直辖市,,,,120116,滨海新区,市辖区
12,天津市,直辖市,,,,120117,宁河区,市辖区
12,天津市,直辖市,,,,120118,静海区,市辖区
12,天津市,直辖市,,,,120119,蓟州区,市辖区
13,河北省,省,1301,石家庄市,地级市,130102,长安区,市辖区
13,河北省,省,1301,石家庄市,地级市,130104,桥西区,市辖区
13,河北省,省,1301,石家庄市,地级市,130105,新华区,市辖区
13,河北省,省,1301,石家庄市,地级市,130107,井陉矿区,市辖区
13,河北省,省,1301,石家庄市,地级市,130108,裕华区,市辖区
13,河北省,省,1301,石家庄市,地级市,130109,藁城区,市辖区
13,河北省,省,1301,石家庄市,地级市,130110,鹿泉区,市辖区
13,河北省,省,1301,石家庄市,地级市,130111,栾城区,市辖区
13,河北省,省,1301,石家庄市,地级市,130121,井陉县,县
13,河北省,省,1301,石家庄市,地级市,130123,正定县,县
13,河北省,省,1301,石家庄市,地级市,130125,行唐县,县
13,河北省,省,1301,石家庄市,地级市,130126,灵寿县,县
13,河北省,省,1301,石家庄市,地级市,130127,高邑县,县
13,河北省,省,1301,石家庄市,地级市,130128,深泽县,县
13,河北省,省,1301,石家庄市,地级市,130129,赞皇县,县
13,河北省,省,1301,石家庄市,地级市,130130,无极县,县
13,河北省,省,1301,石家庄市,地级市,130131,平山县,县
13,河北省,省,1301,石家庄市,地级市,130132,元氏县,县
13,河北省,省,1301,石家庄市,地级市,130133,赵县,县
13,河北省,省,1301,石家庄市,地级市,130181,辛集市,县级市
13,河北省,省,1301,石家庄市,地级市,130183,晋州市,县级市
13,河北省,省,1301,石家庄市,地级市,130184,新乐市,县级市
13,河北省,省,1302,唐山市,地级市,130202,路南区,市辖区
13,河北省,省,1302,唐山市,地级市,130203,路北区,市辖区
13,河北省,省,1302,唐山市,地级市,130204,古冶区,市辖区
13,河北省,省,1302,唐山市,地级市,130205,开平区,市辖区
13,河北省,省,1302,唐山市,地级市,130207,丰南区,市辖区
13,河北省,省,1302,唐山市,地级市,130208,丰润区,市辖区
13,河北省,省,1302,唐山市,地级市,130209,曹妃甸区,市辖区
13,河北省,省,1302,唐山市,地级市,130224,滦南县,县
13,河北省,省,1302,唐山市,地级市,130225,乐亭县,县
13,河北省,省,1302,唐山市,地级市,130227,迁西县,县
13,河北省,省,1302,唐山市,地级市,130229,玉田县,县
13,河北省,省,1302,唐山市,地级市,130281,遵化市,县级市
13,河北省,省,1302,唐山市,地级市,130283,迁安市,县级市
13,河北省,省,1302,唐山市,地级市,130284,滦州市,县级市
13,河北省,省,1303,秦皇岛市,地级市,130302,海港区,市辖区
13,河北省,省,1303,秦皇岛市,地级市,130303,山海关区,市辖区
13,河北省,省,1303,秦皇岛市,地级市,130304,北戴河区,市辖区
13,河北省,省,1303,秦皇岛市,地级市,130306,抚宁区,市辖区
13,河北省,省,1303,秦皇岛市,地级市,130321,青龙满族自治县,自治县
13,河北省,省,1303,秦皇岛市,地级市,130322,昌黎县,县
13,河北省,省,1303,秦皇岛市,地级市,130324,卢龙县,县
13,河北省,省,1304,邯郸市,地级市,130402,邯山区,市辖区
13,河北省,省,1304,邯郸市,地级市,130403,丛台区,市辖区
13,河北省,省,1304,邯郸市,地级市,130404,复兴区,市辖区
13,河北省,省,1304,邯郸市,地级市,130406,峰峰矿区,市辖区
13,河北省,省,1304,邯郸市,地级市,130407,肥乡区,市辖区
13,河北省,省,1304,邯郸市,地级市,130408,永年区,市辖区
13,河北省,省,1304,邯郸市,地级市,130423,临漳县,县
13,河北省,省,1304,邯郸市,地级市,130424,成安县,县
13,河北省,省,1304,邯郸市,地级市,130425,大名县,县
13,河北省,省,1304,邯郸市,地级市,130426,涉县,县
13,河北省,省,1304,邯郸市,地级市,130427,磁县,县
13,河北省,省,1304,邯郸市,地级市,130430,邱县,县
13,河北省,省,1304,邯郸市,地级市,130431,鸡泽县,县
13,河北省,省,1304,邯郸市,地级市,130432,广平县,县
13,河北省,省,1304,邯郸市,地级市,130433,馆陶县,县
13,河北省,省,1304,邯郸市,地级市,130434,魏县,县
13,河北省,省,1304,邯郸市,地级市,130435,曲周县,县
13,河北省,省,1304,邯郸市,地级市,130481,武安市,县级市
13,河北省,省,1305,邢台市,地级市,130502,襄都区,市辖区
13,河北省,省,1305,邢台市,地级市,130503,信都区,市辖区
13,河北省,省,1305,邢台市,地级市,130505,任泽区,市辖区
13,河北省,省,1305,邢台市,地级市,130506,南和区,市辖区
13,河北省,省,1305,邢台市,地级市,130522,临城县,县
13,河北省,省,1305,邢台市,地级市,130523,内丘县,县
13,河北省,省,1305,邢台市,地级市,130524,柏乡县,县
13,河北省,省,1305,邢台市,地级市,130525,隆尧县,县
13,河北省,省,1305,邢台市,地级市,130528,宁晋县,县
13,河北省,省,1305,邢台市,地级市,130529,巨鹿县,县
13,河北省,省,1305,邢台市,地级市,130530,新河县,县
13,河北省,省,1305,邢台市,地级市,130531,广宗县,县
13,河北省,省,1305,邢台市,地级市,130532,平乡县,县
13,河北省,省,1305,邢台市,地级市,130533,威县,县
13,河北省,省,1305,邢台市,地级市,130534,清河县,县
13,河北省,省,1305,邢台市,地级市,130535,临西县,县
13,河北省,省,1305,邢台市,地级市,130581,南宫市,县级市
13,河北省,省,1305,邢台市,地级市,130582,沙河市,县级市
13,河北省,省,1306,保定市,地级市,130602,竞秀区,市辖区
13,河北省,省,1306,保定市,地级市,130606,莲池区,市辖区
13,河北省,省,1306,保定市,地级市,130607,满城区,市辖区
13,河北省,省,1306,保定市,地级市,130608,清苑区,市辖区
13,河北省,省,1306,保定市,地级市,130609,徐水区,市辖区
13,河北省,省,1306,保定市,地级市,130623,涞水县,县
13,河北省,省,1306,保定市,地级市,130624,阜平县,县
13,河北省,省,1306,保定市,地级市,130626,定兴县,县
13,河北省,省,1306,保定市,地级市,130627,唐县,县
13,河北省,省,1306,保定市,地级市,130628,高阳县,县
13,河北省,省,1306,保定市,地级市,130629,容城县,县
13,河北省,省,1306,保定市,地级市,130630,涞源县,县
13,河北省,省,1306,保定市,地级市,130631,望都县,县
13,河北省,省,1306,保定市,地级市,130632,安新县,县
13,河北省,省,1306,保定市,地级市,130633,易县,县
13,河北省,省,1306,保定市,地级市,130634,曲阳县,县
13,河北省,省,1306,保定市,地级市,130635,蠡县,县
